Package,Built
abind,3.4.1
acepack,3.4.3
ade4,3.4.3
afex,3.4.3
anesrake,3.4.4
anytime,3.4.4
apaTables,3.4.3
aplpack,3.4.1
arm,3.4.3
assertive,3.4.3
assertive.base,3.4.3
assertive.code,3.4.3
assertive.data,3.4.3
assertive.data.uk,3.4.3
assertive.data.us,3.4.3
assertive.datetimes,3.4.3
assertive.files,3.4.3
assertive.matrices,3.4.3
assertive.models,3.4.3
assertive.numbers,3.4.3
assertive.properties,3.4.3
assertive.reflection,3.4.3
assertive.sets,3.4.3
assertive.strings,3.4.3
assertive.types,3.4.3
assertr,3.4.4
assertthat,3.4.3
aws.polly,3.4.3
aws.signature,3.4.3
backports,3.4.3
base64enc,3.4.1
BayesFactor,3.4.3
bayesplot,3.4.3
BBmisc,3.4.3
benchmarkme,3.4.3
benchmarkmeData,3.4.3
BH,3.4.1
BiasedUrn,3.4.1
bindr,3.4.3
bindrcpp,3.4.3
bit,3.4.1
bit64,3.4.1
bitops,3.4.1
blme,3.4.4
blob,3.4.3
bookdown,3.4.4
brew,3.4.1
bridgesampling,3.4.3
brms,3.4.3
Brobdingnag,3.4.1
broom,3.4.4
ca,3.4.3
callr,3.4.4
car,3.4.3
carData,3.4.1
caret,3.4.3
caTools,3.4.3
catR,3.4.4
cattonum,3.4.4
cellranger,3.4.3
checkmate,3.4.3
chron,3.4.3
classInt,3.4.3
cli,3.4.3
clipr,3.4.3
clisymbols,3.4.4
coda,3.4.3
codebook,3.4.4
coin,3.4.3
colorspace,3.4.3
colourpicker,3.4.3
commonmark,3.4.4
conflicted,3.4.4
corpcor,3.4.1
cowplot,3.4.3
cramer,3.4.3
crayon,3.4.3
crosstalk,3.4.3
crul,3.4.3
csvy,3.4.3
curl,3.4.3
CVST,3.4.3
d3Network,3.4.3
daff,3.4.4
data.table,3.4.3
data.tree,3.4.3
datapasta,3.4.3
DBI,3.4.4
dbplyr,3.4.3
ddalpha,3.4.3
debugme,3.4.3
default,3.4.4
DEoptimR,3.4.1
desc,3.4.3
DescTools,3.4.3
devtools,3.4.4
DiagrammeR,3.4.3
dichromat,3.4.1
digest,3.4.3
dimRed,3.4.3
diptest,3.4.1
doAzureParallel,3.4.3
doParallel,3.4.3
downloader,3.4.3
dplyr,3.4.3
drake,3.4.4
DRR,3.4.3
DT,3.4.3
dummies,3.4.1
dunn.test,3.4.2
dygraphs,3.4.3
e1071,3.4.3
effects,3.4.3
effsize,3.4.3
ellipse,3.4.3
emmeans,3.4.3
enc,3.4.4
estimability,3.4.3
evaluate,3.4.3
expm,3.4.3
expss,3.4.4
extrafont,3.4.3
extrafontdb,3.4.1
FactoMineR,3.4.3
farff,3.4.4
farver,3.4.3
fastmatch,3.4.1
fBasics,3.4.3
flashClust,3.4.1
flexdashboard,3.4.3
flexmix,3.4.3
FNN,3.4.4
forcats,3.4.3
foreach,3.4.3
formatR,3.4.3
formattable,3.4.4
Formula,3.4.1
fpc,3.4.3
fs,3.4.4
furrr,3.4.4
future,3.4.4
gapminder,3.4.3
gdata,3.4.3
gdtools,3.4.4
gender,3.4.3
geonames,3.4.1
geosphere,3.4.3
GGally,3.4.3
gganimate,3.4.3
ggcorrplot,3.4.3
ggeffects,3.4.4
ggExtra,3.4.3
ggjoy,3.4.3
ggmap,3.4.3
ggplot2,3.4.3
ggplotify,3.4.4
ggrepel,3.4.3
ggridges,3.4.3
ggstatsplot,3.4.3
ggthemes,3.4.4
gh,3.4.4
git2r,3.4.3
glmmTMB,3.4.4
glmnet,3.4.3
globals,3.4.4
glue,3.4.3
gmodels,3.4.4
gnm,3.4.3
gower,3.4.3
GPArotation,3.4.1
gridBase,3.4.3
gridExtra,3.4.3
gridGraphics,3.4.4
gsl,3.4.1
gss,3.4.1
gtable,3.4.3
gtools,3.4.1
h2o,3.4.3
haven,3.4.4
here,3.4.4
hexbin,3.4.3
highr,3.4.3
Hmisc,3.4.3
hms,3.4.4
hoardr,3.4.3
htmlTable,3.4.3
htmltools,3.4.3
htmlwidgets,3.4.3
httpcode,3.4.1
httpuv,3.4.3
httr,3.4.3
hunspell,3.4.3
igraph,3.4.3
iml,3.4.3
infer,3.4.3
influenceR,3.4.3
ini,3.4.4
inline,3.4.3
inum,3.4.3
ipred,3.4.3
irlba,3.4.3
isdparser,3.4.3
ISOcodes,3.4.1
iterators,3.4.3
janeaustenr,3.4.3
janitor,3.4.3
jcolors,3.4.4
jmv,3.4.3
jmvcore,3.4.3
jpeg,3.4.1
jsonlite,3.4.3
kableExtra,3.4.3
kernlab,3.4.1
knitr,3.4.3
labeling,3.4.1
latticeExtra,3.4.3
lava,3.4.3
lavaan,3.4.3
lazyeval,3.4.3
leaflet,3.4.3
leaps,3.4.3
lfe,3.4.3
libcoin,3.4.3
likert,3.4.4
listenv,3.4.3
lme4,3.4.3
lmerTest,3.4.3
lmtest,3.4.3
loo,3.4.3
lpSolve,3.4.1
lubridate,3.4.3
magick,3.4.4
magrittr,3.4.3
manipulate,3.4.1
mapproj,3.4.3
maps,3.4.3
maptools,3.4.3
markdown,3.4.3
matrixcalc,3.4.1
MatrixModels,3.4.3
matrixStats,3.4.3
MBESS,3.4.3
mc2d,3.4.3
mclust,3.4.3
memoise,3.4.3
merTools,3.4.4
Metrics,3.4.3
mi,3.4.3
mice,3.4.4
microbenchmark,3.4.3
mime,3.4.1
miniUI,3.4.3
minpack.lm,3.4.3
minqa,3.4.3
miscTools,3.4.3
mixOmics,3.4.3
mlr,3.4.3
mnormt,3.4.1
ModelMetrics,3.4.3
modelr,3.4.3
modeltools,3.4.1
mstR,3.4.4
multcomp,3.4.3
multcompView,3.4.3
munsell,3.4.3
mvnormtest,3.4.1
mvtnorm,3.4.3
NbClust,3.4.1
network,3.4.3
nleqslv,3.4.1
nloptr,3.4.3
NLP,3.4.1
NMF,3.4.3
nortest,3.4.1
numDeriv,3.4.1
odbc,3.4.3
officer,3.4.4
oompaBase,3.4.4
OpenML,3.4.4
OpenMx,3.4.3
openNLP,3.4.3
openNLPdata,3.4.3
openssl,3.4.3
openxlsx,3.4.3
ordinal,3.4.3
ordinalNet,3.4.3
packagefinder,3.4.4
packrat,3.4.3
pacman,3.4.3
paletteer,3.4.3
palr,3.4.4
pals,3.4.4
pander,3.4.3
papaja,3.4.3
papeR,3.4.4
parallelMap,3.4.3
ParamHelpers,3.4.3
partykit,3.4.3
pastecs,3.4.3
patchwork,3.4.3
pbapply,3.4.3
pbivnorm,3.4.1
pbkrtest,3.4.3
permute,3.4.3
phrasemachine,3.4.3
pillar,3.4.3
pipeliner,3.4.3
pkgbuild,3.4.3
pkgconfig,3.4.3
pkgload,3.4.3
pkgmaker,3.4.3
PKI,3.4.1
plogr,3.4.3
plotrix,3.4.3
pls,3.4.3
plyr,3.4.3
PMCMR,3.4.3
png,3.4.1
polyreg,3.4.3
prabclus,3.4.3
praise,3.4.3
prediction,3.4.3
prettyunits,3.4.3
prodlim,3.4.3
profvis,3.4.3
progress,3.4.4
proto,3.4.3
proxy,3.4.3
pryr,3.4.4
pspearman,3.4.1
psych,3.4.3
purrr,3.4.3
pwr,3.4.3
qdap,3.4.3
qdapDictionaries,3.4.1
qdapRegex,3.4.3
qdapTools,3.4.3
quadprog,3.4.1
quanteda,3.4.3
quantreg,3.4.3
qvcalc,3.4.3
R.methodsS3,3.4.1
R.oo,3.4.1
R.utils,3.4.4
R6,3.4.3
randomForest,3.4.3
RApiDatetime,3.4.1
rappdirs,3.4.3
rapportools,3.4.4
rARPACK,3.4.3
raster,3.4.3
rAzureBatch,3.4.3
Rcmdr,3.4.3
RcmdrMisc,3.4.3
RColorBrewer,3.4.1
Rcpp,3.4.4
RcppArmadillo,3.4.3
RcppEigen,3.4.3
RcppParallel,3.4.3
RcppRoll,3.4.3
RCurl,3.4.3
readODS,3.4.3
readr,3.4.3
readstata13,3.4.3
readxl,3.4.3
rebus,3.4.3
rebus.base,3.4.3
rebus.datetimes,3.4.3
rebus.numbers,3.4.3
rebus.unicode,3.4.3
recipes,3.4.3
registry,3.4.3
regtools,3.4.4
relimp,3.4.3
rematch,3.4.3
rematch2,3.4.4
reports,3.4.3
reprex,3.4.3
reshape,3.4.3
reshape2,3.4.3
reticulate,3.4.3
rgdal,3.4.3
rgeos,3.4.3
rgexf,3.4.3
rgl,3.4.3
RgoogleMaps,3.4.3
rio,3.4.3
rJava,3.4.4
rjson,3.4.1
RJSONIO,3.4.1
rlang,3.4.4
rmarkdown,3.4.4
rnaturalearth,3.4.3
rngtools,3.4.3
rnoaa,3.4.3
robustbase,3.4.3
RODBC,3.4.1
Rook,3.4.1
roxygen2,3.4.3
rpf,3.4.3
rprojroot,3.4.3
rsconnect,3.4.3
RSpectra,3.4.3
RSQLite,3.4.3
rstan,3.4.3
rstanarm,3.4.3
rstantools,3.4.3
rstudioapi,3.4.3
Rttf2pt1,3.4.3
RVAideMemoire,3.4.3
rvcheck,3.4.4
rvest,3.4.3
RWiener,3.4.3
sandwich,3.4.3
scales,3.4.3
scatterplot3d,3.4.4
scico,3.4.4
SCRT,3.4.3
selectr,3.4.3
sem,3.4.3
semTools,3.4.3
sf,3.4.4
sfsmisc,3.4.3
shiny,3.4.3
shinyjs,3.4.3
shinystan,3.4.3
shinythemes,3.4.3
signal,3.4.3
sjlabelled,3.4.4
sjmisc,3.4.3
sjPlot,3.4.4
sjstats,3.4.4
skimr,3.4.3
slam,3.4.3
slidifyLibraries,3.4.3
sna,3.4.3
snakecase,3.4.3
SnowballC,3.4.1
sourcetools,3.4.3
sp,3.4.3
spacyr,3.4.3
SparseM,3.4.1
SQUAREM,3.4.2
stabledist,3.4.3
StanHeaders,3.4.3
stargazer,3.4.3
statnet.common,3.4.1
stopwords,3.4.3
storr,3.4.4
stringdist,3.4.3
stringi,3.4.4
stringr,3.4.3
styler,3.4.4
summarytools,3.4.3
SuppDists,3.4.1
survey,3.4.3
svglite,3.4.4
tcltk2,3.4.1
testthat,3.4.3
TH.data,3.4.3
threejs,3.4.3
tibble,3.4.3
tidycensus,3.4.3
tidyr,3.4.3
tidyselect,3.4.4
tidytext,3.4.3
tidyverse,3.4.3
tigris,3.4.3
timeDate,3.4.3
timeSeries,3.4.3
tinytex,3.4.4
tm,3.4.3
TMB,3.4.4
tokenizers,3.4.3
transformr,3.4.3
translations,3.4.3
triebeard,3.4.3
trimcluster,3.4.3
tuneR,3.4.3
tweenr,3.4.3
twilio,3.4.3
ucminf,3.4.1
udunits2,3.4.1
units,3.4.3
urltools,3.4.3
userfriendlyscience,3.4.3
usethis,3.4.4
utf8,3.4.3
uuid,3.4.1
V8,3.4.4
vcd,3.4.3
vcdExtra,3.4.3
vegan,3.4.3
venneuler,3.4.3
viridis,3.4.3
viridisLite,3.4.3
visNetwork,3.4.3
WDI,3.4.1
weights,3.4.4
whisker,3.4.3
withr,3.4.3
wordcloud,3.4.3
wrapr,3.4.3
WRS2,3.4.3
xfun,3.4.4
xgboost,3.4.3
xlsx,3.4.3
xlsxjars,3.4.3
XML,3.4.3
xml2,3.4.3
xtable,3.4.3
xts,3.4.3
yaml,3.4.4
zip,3.4.4
zoo,3.4.3
